date,pollutant,mean_value,neighborhood
2020-01-01,Ozone,0.023,Washington Heights
2020-01-01,PM2.5,7.85,Washington Heights
2021-01-01,Ozone,0.019,Washington Heights
2021-01-01,PM2.5,9.25,Washington Heights
2022-01-01,Ozone,0.005,Washington Heights
2022-01-01,PM2.5,9.850000000000001,Washington Heights
2020-01-02,Ozone,0.013,Washington Heights
2020-01-02,PM2.5,13.5,Washington Heights
2021-01-02,Ozone,0.022,Washington Heights
2021-01-02,PM2.5,9.100000000000001,Washington Heights
2022-01-02,Ozone,0.024,Washington Heights
2022-01-02,PM2.5,8.55,Washington Heights
2020-01-03,Ozone,0.001,Washington Heights
2020-01-03,PM2.5,17,Washington Heights
2021-01-03,Ozone,0.017,Washington Heights
2021-01-03,PM2.5,9.3,Washington Heights
2022-01-03,Ozone,0.024,Washington Heights
2022-01-03,PM2.5,7.8500000000000005,Washington Heights
2020-01-04,Ozone,0.026,Washington Heights
2020-01-04,PM2.5,13.35,Washington Heights
2021-01-04,Ozone,0.019,Washington Heights
2021-01-04,PM2.5,8.850000000000001,Washington Heights
2022-01-04,Ozone,0.02,Washington Heights
2022-01-04,PM2.5,9.8,Washington Heights
2020-01-05,Ozone,0.029,Washington Heights
2020-01-05,PM2.5,8.600000000000001,Washington Heights
2021-01-05,Ozone,0.022,Washington Heights
2021-01-05,PM2.5,8.649999999999999,Washington Heights
2022-01-05,Ozone,0.015,Washington Heights
2022-01-05,PM2.5,10.05,Washington Heights
2020-01-06,Ozone,0.016,Washington Heights
2020-01-06,PM2.5,10.5,Washington Heights
2021-01-06,Ozone,0.026,Washington Heights
2021-01-06,PM2.5,10.55,Washington Heights
2022-01-06,Ozone,0.022,Washington Heights
2022-01-06,PM2.5,13.25,Washington Heights
2020-01-07,Ozone,0.013,Washington Heights
2020-01-07,PM2.5,10.3,Washington Heights
2021-01-07,Ozone,0.025,Washington Heights
2021-01-07,PM2.5,9,Washington Heights
2022-01-07,Ozone,0.028,Washington Heights
2022-01-07,PM2.5,11.9,Washington Heights
2020-01-08,Ozone,0.03,Washington Heights
2020-01-08,PM2.5,10.95,Washington Heights
2021-01-08,Ozone,0.022,Washington Heights
2021-01-08,PM2.5,7.699999999999999,Washington Heights
2022-01-08,PM2.5,10.899999999999999,Washington Heights
2020-01-09,Ozone,0.023,Washington Heights
2020-01-09,PM2.5,10.15,Washington Heights
2021-01-09,Ozone,0.03,Washington Heights
2021-01-09,PM2.5,7.85,Washington Heights
2022-01-09,PM2.5,11.3,Washington Heights
2020-01-10,Ozone,0.012,Washington Heights
2020-01-10,PM2.5,11.1,Washington Heights
2021-01-10,Ozone,0.026,Washington Heights
2021-01-10,PM2.5,9.6,Washington Heights
2022-01-10,Ozone,0.032,Washington Heights
2022-01-10,PM2.5,12.4,Washington Heights
2020-01-11,Ozone,0.03,Washington Heights
2020-01-11,PM2.5,11.45,Washington Heights
2021-01-11,Ozone,0.006,Washington Heights
2021-01-11,PM2.5,12.6,Washington Heights
2022-01-11,Ozone,0.027,Washington Heights
2022-01-11,PM2.5,12.45,Washington Heights
2020-01-12,Ozone,0.03,Washington Heights
2020-01-12,PM2.5,8.899999999999999,Washington Heights
2021-01-12,Ozone,0.016,Washington Heights
2021-01-12,PM2.5,18,Washington Heights
2022-01-12,Ozone,0.016,Washington Heights
2022-01-12,PM2.5,12.45,Washington Heights
2020-01-13,Ozone,0.005,Washington Heights
2020-01-13,PM2.5,11.65,Washington Heights
2021-01-13,Ozone,0.015,Washington Heights
2021-01-13,PM2.5,17.5,Washington Heights
2022-01-13,Ozone,0.004,Washington Heights
2022-01-13,PM2.5,20.450000000000003,Washington Heights
2020-01-14,Ozone,0.004,Washington Heights
2020-01-14,PM2.5,12.100000000000001,Washington Heights
2021-01-14,Ozone,0.007,Washington Heights
2021-01-14,PM2.5,18.1,Washington Heights
2022-01-14,Ozone,0.023,Washington Heights
2022-01-14,PM2.5,12.100000000000001,Washington Heights
2020-01-15,Ozone,0.022,Washington Heights
2020-01-15,PM2.5,12.6,Washington Heights
2021-01-15,Ozone,0.025,Washington Heights
2021-01-15,PM2.5,14.100000000000001,Washington Heights
2022-01-15,Ozone,0.028,Washington Heights
2022-01-15,PM2.5,10.7,Washington Heights
2020-01-16,Ozone,0.028,Washington Heights
2020-01-16,PM2.5,10.2,Washington Heights
2021-01-16,Ozone,0.022,Washington Heights
2021-01-16,PM2.5,5.550000000000001,Washington Heights
2022-01-16,Ozone,0.032,Washington Heights
2022-01-16,PM2.5,9,Washington Heights
2020-01-17,Ozone,0.032,Washington Heights
2020-01-17,PM2.5,8.8,Washington Heights
2021-01-17,Ozone,0.024,Washington Heights
