zip_code,site_name,pollutant,geo_place_name,geometry
10002,DIVISION STREET,PM2.5,Union Square - Lower East Side,"c(-73.99518, 40.71436)"
10031,CCNY,CO,Washington Heights,"c(-73.94825, 40.81976)"
10031,CCNY,Ozone,Washington Heights,"c(-73.94825, 40.81976)"
10031,CCNY,PM2.5,Washington Heights,"c(-73.94825, 40.81976)"
10033,Intermediate School 143,PM2.5,Washington Heights,"c(-73.935649, 40.8495500009336)"
10035,IS 45,PM2.5,East Harlem,"c(-73.93432, 40.7997)"
10302,RICHMOND POST OFFICE,PM2.5,Port Richmond,"c(-74.13719, 40.63307)"
10314,FRESHKILLS WEST,Ozone,Willowbrook,"c(-74.19832, 40.58027)"
10314,FRESHKILLS WEST,PM2.5,Willowbrook,"c(-74.19832, 40.58027)"
10452,MORRISANIA,PM2.5,High Bridge - Morrisania,"c(-73.92009, 40.83606)"
10455,IS 52,NO2,Hunts Point - Mott Haven,"c(-73.902, 40.816)"
10455,IS 52,Ozone,Hunts Point - Mott Haven,"c(-73.902, 40.816)"
10455,IS 52,PM2.5,Hunts Point - Mott Haven,"c(-73.902, 40.816)"
10474,IS 74,PM2.5,Hunts Point - Mott Haven,"c(-73.88553, 40.81551)"
11220,PS 314,PM2.5,Sunset Park,"c(-74.01871, 40.64182)"
11221,PS 274,PM2.5,Williamsburg - Bushwick,"c(-73.92769, 40.69454)"
11222,JHS 126,PM2.5,Greenpoint,"c(-73.94771, 40.71961)"
11367,QUEENS COLLEGE 2,CO,Fresh Meadows,"c(-73.82153, 40.73614)"
11367,QUEENS COLLEGE 2,NO2,Fresh Meadows,"c(-73.82153, 40.73614)"
11367,QUEENS COLLEGE 2,Ozone,Fresh Meadows,"c(-73.82153, 40.73614)"
11367,QUEENS COLLEGE 2,PM2.5,Fresh Meadows,"c(-73.82153, 40.73614)"
11367,Queens College Near Road,CO,Fresh Meadows,"c(-73.817694, 40.739264)"
11367,Queens College Near Road,NO2,Fresh Meadows,"c(-73.817694, 40.739264)"
11367,Queens College Near Road,PM2.5,Fresh Meadows,"c(-73.817694, 40.739264)"
11378,MASPETH LIBRARY,PM2.5,West Queens,"c(-73.89313, 40.72698)"
