unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,id,x_center,y_center,intplon10,intplat10
175345,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Winter 2010-11,12/1/2010,30.1,206,-73.9816705701337,40.632794524067094,-73.9816705701337,40.632794524067094
176689,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Annual Average 2013,12/1/2012,20.23,206,-73.9816705701337,40.632794524067094,-73.9816705701337,40.632794524067094
176682,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Annual Average 2013,12/1/2012,23.73,106,-73.91651340285628,40.8270721082092,-73.91651340285628,40.8270721082092
336507,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Winter 2014-15,12/1/2014,26,106,-73.91651340285628,40.8270721082092,-73.91651340285628,40.8270721082092
740910,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,High Bridge - Morrisania,Annual Average 2021,1/1/2021,18.04,106,-73.91651340285628,40.8270721082092,-73.91651340285628,40.8270721082092
175348,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Winter 2010-11,12/1/2010,28.44,209,-74.01297834365946,40.60924532364142,-74.01297834365946,40.60924532364142
175894,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Summer 2009,6/1/2009,18.95,209,-74.01297834365946,40.60924532364142,-74.01297834365946,40.60924532364142
175895,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Summer 2009,6/1/2009,15.22,210,-73.95831164702926,40.593334564339514,-73.95831164702926,40.593334564339514
175349,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Winter 2010-11,12/1/2010,25.7,210,-73.95831164702926,40.593334564339514,-73.95831164702926,40.593334564339514
176693,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Annual Average 2013,12/1/2012,16.36,210,-73.95831164702926,40.593334564339514,-73.95831164702926,40.593334564339514
741006,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410,Rockaways,Annual Average 2021,1/1/2021,11.41,410,-73.84586402181657,40.578051165187304,-73.84586402181657,40.578051165187304
175885,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Summer 2009,6/1/2009,23,107,-73.89868389369903,40.81602264086559,-73.89868389369903,40.81602264086559
176683,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Annual Average 2013,12/1/2012,21.54,107,-73.89868389369903,40.81602264086559,-73.89868389369903,40.81602264086559
740913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Annual Average 2021,1/1/2021,18.52,107,-73.89868389369903,40.81602264086559,-73.89868389369903,40.81602264086559
175892,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Summer 2009,6/1/2009,21.39,207,-73.94349018716304,40.64185672186541,-73.94349018716304,40.64185672186541
