Data note 1,Data note 2,Dim1Name,Zip,Dim2Name,Dim2Value,Date ,Count
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10271,Age Group,All age groups,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10271,Age Group,All age groups,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10271,Age Group,Ages 18-64 years,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10271,Age Group,Ages 18-64 years,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10278,Age Group,All age groups,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10278,Age Group,All age groups,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10278,Age Group,Ages 18-64 years,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10278,Age Group,Ages 18-64 years,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10278,Age Group,Ages 65+ years,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10278,Age Group,Ages 65+ years,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10279,Age Group,All age groups,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10279,Age Group,All age groups,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10279,Age Group,Ages 18-64 years,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10279,Age Group,Ages 18-64 years,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,All age groups,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,All age groups,2017,9
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,Ages 0-4 years,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,Ages 0-4 years,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,Ages 5-17 years,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,Ages 5-17 years,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,Ages 18-64 years,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,Ages 18-64 years,2017,9
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,Ages 65+ years,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,Ages 65+ years,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,All age groups,2016,"101,049"
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,All age groups,2017,"95,949"
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,All age groups,2018,"100,659"
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,All age groups,2019,"94,118"
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,All age groups,2020,"56,909"
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,Ages 0-4 years,2016,"8,374"
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,Ages 0-4 years,2017,"6,573"
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,Ages 0-4 years,2018,"6,631"
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,Ages 0-4 years,2019,"5,776"
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,Ages 0-4 years,2020,"1,903"
