County, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Percent of Cases with Late Stage
New York(3),36000,35.2,34.9,35.5,N/A ,26,31,8865,63.6
US (SEER+NPCR)(1),0,35.3,35.2,35.4,N/A , N/A , N/A,141093,65.5
Orleans County(7),36073,63.8,54.6,74.2,1,1,15,36,68.9
Oswego County(7),36075,61.8,56.3,67.8,2,1,9,97,64
Cortland County(7),36023,56.6,48.3,66.1,3,1,33,35,68.9
Jefferson County(7),36045,56.3,50.4,62.8,4,1,21,68,65.3
Chemung County(7),36015,54.7,48.8,61.1,5,1,26,67,72
Montgomery County(7),36057,54.1,46.5,62.7,6,1,38,38,65.9
Fulton County(7),36035,53.5,46.4,61.5,7,1,37,43,66.5
Wayne County(7),36117,52.3,46.8,58.4,8,2,34,69,71.5
Schuyler County(7),36097,51.5,40,65.8,9,1,55,15,66.1
Genesee County(7),36037,50.4,43.8,58,10,2,45,43,72.2
Clinton County(7),36019,50.1,44.2,56.6,11,2,42,55,51.6
St. Lawrence County(7),36089,50,44.9,55.6,12,3,39,73,68
Greene County(7),36039,49.6,42.7,57.5,13,2,48,39,62.7
Seneca County(7),36099,49.5,40.8,59.7,14,1,53,24,68.2
Rensselaer County(7),36083,49.1,44.9,53.6,15,4,38,105,63
Hamilton County(7),36041,49,30.8,81.6,16,1,62,5,72.7
Washington County(7),36115,48.7,42.4,55.9,17,2,49,45,64.8
Allegany County(7),36003,48.2,40.9,56.5,18,2,52,33,71.9
Cayuga County(7),36011,47.2,41.6,53.4,19,4,49,55,59.9
Niagara County(7),36063,47,43.6,50.6,20,8,42,147,64.4
Chautauqua County(7),36013,46.8,42.4,51.6,21,6,46,89,66
Chenango County(7),36017,46.6,39.6,54.6,22,3,54,34,67.7
Oneida County(7),36065,46.1,42.7,49.6,23,9,44,149,67
Franklin County(7),36033,45.8,38.7,53.9,24,4,55,31,58.9
Schoharie County(7),36095,45.7,37.3,55.7,25,2,55,23,71.3
Yates County(7),36123,45.6,36,57.3,26,2,56,17,67.2
Livingston County(7),36051,45.5,39.3,52.4,27,5,54,41,69.8
Cattaraugus County(7),36009,45.3,39.9,51.5,28,6,52,52,66.5
Schenectady County(7),36093,45,40.9,49.4,29,9,49,94,66.8
Otsego County(7),36077,45,38.9,51.8,30,5,54,42,72.9
Albany County(7),36001,44.5,41.5,47.6,31,14,46,178,64.2
Warren County(7),36113,44.5,38.9,50.8,32,7,54,48,63.1
Erie County(7),36029,44.1,42.5,45.8,33,20,43,565,64.8
Herkimer County(7),36043,43.9,37.9,50.6,34,7,55,41,65.2
Steuben County(7),36101,43.5,38.7,48.9,35,10,54,62,66
Onondaga County(7),36067,43.4,41.1,45.9,36,18,47,266,60.4
Sullivan County(7),36105,43.4,37.9,49.5,37,9,54,48,67
Broome County(7),36007,43.1,39.6,46.9,38,15,52,117,68.9
Delaware County(7),36025,43,36.4,50.8,39,6,55,34,67.7
Saratoga County(7),36091,42.8,39.6,46.2,40,17,51,140,65.8
Ulster County(7),36111,42.7,39.3,46.5,41,16,52,117,70.1
Wyoming County(7),36121,41.6,34.3,50.1,42,7,57,24,66.5
Orange County(7),36071,40.9,38.2,43.7,43,26,53,177,67
Ontario County(7),36069,40.5,36.2,45.3,44,19,55,67,68.1
Monroe County(7),36055,40.4,38.6,42.3,45,33,52,402,65.4
Tioga County(7),36107,39.9,33.6,47.2,46,11,56,30,67.4
Essex County(7),36031,39.7,32.9,47.8,47,11,58,26,63.9
Columbia County(7),36021,39.4,33.8,45.8,48,15,56,39,57.4
Dutchess County(7),36027,38.9,36.2,41.8,49,33,55,160,65.7
Richmond County(7),36085,38.9,36.6,41.2,50,36,55,234,60.8
Putnam County(7),36079,38.4,33.8,43.6,51,24,56,52,61.2
Madison County(7),36053,38.2,32.9,44.1,52,19,57,40,62.7
Suffolk County(7),36103,37.7,36.4,38.9,53,44,55,750,60
Lewis County(7),36049,36.2,27.9,46.5,54,11,62,14,61.3
Tompkins County(7),36109,35.5,30.7,41,55,32,59,41,68.9
Rockland County(7),36087,30.8,28.3,33.4,56,53,60,121,63.7
Nassau County(7),36059,30,28.9,31.1,57,54,58,565,59.5
Bronx County(7),36005,29.6,28.4,30.9,58,55,59,447,69.4
Kings County(7),36047,27.5,26.6,28.4,59,57,61,781,64.6
Westchester County(7),36119,27,25.7,28.3,60,58,62,354,60.6
Queens County(7),36081,26.5,25.6,27.3,61,58,62,751,63.1
New York County(7),36061,24.9,23.9,25.9,62,60,62,510,57.8
