Data note 1,Data note 2,Dim1Name,Zip,Dim2Name,Dim2Value,Date ,Count
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10271,Age Group,All age groups,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10271,Age Group,All age groups,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10271,Age Group,Ages 18-64 years,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10271,Age Group,Ages 18-64 years,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10278,Age Group,All age groups,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10278,Age Group,All age groups,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10278,Age Group,Ages 18-64 years,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10278,Age Group,Ages 18-64 years,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10278,Age Group,Ages 65+ years,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10278,Age Group,Ages 65+ years,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10279,Age Group,All age groups,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10279,Age Group,All age groups,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10279,Age Group,Ages 18-64 years,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,10279,Age Group,Ages 18-64 years,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,All age groups,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,All age groups,2017,10
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,Ages 0-4 years,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,Ages 0-4 years,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,Ages 5-17 years,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,Ages 5-17 years,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,Ages 18-64 years,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,Ages 18-64 years,2017,8
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,Ages 65+ years,2016,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,,88888,Age Group,Ages 65+ years,2017,0
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,All age groups,2016,"433,187"
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,All age groups,2017,"449,966"
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,All age groups,2018,"464,797"
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,All age groups,2019,"428,863"
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,All age groups,2020,"388,329"
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,Ages 0-4 years,2016,"81,182"
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,Ages 0-4 years,2017,"77,461"
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,Ages 0-4 years,2018,"83,638"
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,Ages 0-4 years,2019,"77,606"
"-Syndrome data are inherently non-specific and not based on diagnostic testing. While the New York City syndromic surveillance system captures 100% of all emergency department(ED) visits in the city (as of 5/1/16, 99% prior to that), the data are not comprehensive as only aproportion of residents seek care in emergency departments. Therefore the data are not exact measures of morbidity.
-Data for the most recent two weeks are not final and are subject to change.",-Geographic data may not add up to citywide count data due to missing location data for some patients.,Citywide,Citwide,Age Group,Ages 0-4 years,2020,"31,773"
