date,units,site_name,state,county,pollutant,value,scaled_value,measurement,zip_code,sfg_id,point_id,x,y
01/01/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7.3,0.18121929264301628,NA,10452,1,1,-73.92009,40.83606
01/02/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,13.5,1.6559165663065194,NA,10452,2,2,-73.92009,40.83606
01/03/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,18.1,2.7500468016052477,NA,10452,3,3,-73.92009,40.83606
01/04/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,12.2,1.3467058476351395,NA,10452,4,4,-73.92009,40.83606
01/05/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,6.7,0.03850665325622576,NA,10452,5,5,-73.92009,40.83606
01/06/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,10.8,1.0137096890659618,NA,10452,6,6,-73.92009,40.83606
01/07/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,9.3,0.6569280905989852,NA,10452,7,7,-73.92009,40.83606
01/08/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,8.6,0.4904300113143959,NA,10452,8,8,-73.92009,40.83606
01/09/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,8,0.3477173719276054,NA,10452,9,9,-73.92009,40.83606
01/10/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,11.2,1.1088514486571552,NA,10452,10,10,-73.92009,40.83606
01/11/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,11.6,1.2039932082483489,NA,10452,11,11,-73.92009,40.83606
01/12/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7.7,0.2763610522342101,NA,10452,12,12,-73.92009,40.83606
01/13/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,10.7,0.989924249168163,NA,10452,13,13,-73.92009,40.83606
01/14/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,11.6,1.2039932082483489,NA,10452,14,14,-73.92009,40.83606
01/15/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,10.7,0.989924249168163,NA,10452,15,15,-73.92009,40.83606
01/16/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7.9,0.323931932029807,NA,10452,16,16,-73.92009,40.83606
01/17/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7.1,0.13364841284741938,NA,10452,17,17,-73.92009,40.83606
01/18/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,6.5,-0.009064226539371154,NA,10452,18,18,-73.92009,40.83606
01/19/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,7.8,0.30014649213200845,NA,10452,19,19,-73.92009,40.83606
01/20/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,6.4,-0.0328496664371695,NA,10452,20,20,-73.92009,40.83606
01/21/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,6.9,0.08607753305182267,NA,10452,21,21,-73.92009,40.83606
01/22/2020,ug/m3 LC,MORRISANIA,New York,Bronx,PM2.5,9.4,0.6807135304967835,NA,10452,22,22,-73.92009,40.83606
